referencia;designacao;localizacao
128211G;COMPASSO PARA COMANDO MANUAL GEZE OL 320 PRATA;GEZE P3
12846G;CAPA P/PIVOT GIRATORIO COR INOX;
128660G;PERLAN 140 GUIA L=6000 ESPECIAL SOFTSTOP EV1;
128708G;COMPASSO MOTORIZADO 230 V -  GEZE E170;GEZE P5
128715G;MOTOR GEZE E-170/2 - BRANCO;
128721G;MOTOR GEZE E-170/2 - BRANCO;
128722G;MOTOR GEZE E170 - PRETO;GEZE P9
128733G;UNIDADE DE PERFIL MOTORIZADO ECDRIVE L- 6500 MM;
128874G;LEVOLAN KIT CARROS;
128876G;PERLAN 140 KIT ACESS. SOFT STOP 1 LADO CURTO;
128880G;PERLAN 140 - KIT ACESS. SOFT STOP 2 LADOS MED 900-1290;
128891G;PERLAN 140 - KIT ACESS. SOFT STOP GEZE;
128899G;PERLAN 140 - KIT ACESS. SOFT STOP 1 LADO - GEZE;
128962;MOTOR GEZE EOL N 230V - BRANCO;geze
128962G;MOTOR GEZE EOL N 230V - BRANCO;
128963;MOTOR GEZE EOL N 230V - PRETO;
128979G;MOTOR GEZE E-OL CORRENTE 230V - PRATA;GEZE P5
128980G;MOTOR GEZE E-OL CORRENTE 230V - BRANCO;
128981G;MOTOR GEZE E-OL CORRENTE 230V - PRETO;
128982G;MOTOR GEZE E-OL CORRENTE 24V - PRATA;
128983G;MOTOR GEZE E-OL CORRENTE 24V - BRANCO;
128984G;MOTOR GEZE E-OL CORRENTE 24V - PRETO;
129124G;LEVOLAN MURO FOLHA 1110-1300 CARRIL 2450MM;
129145G;UNIDADE DE RETENÇAO MOLA BOXER OCULTA;GEZE P5
129213G;GUIA P/MOLA BOXER S/RETENÇAO;GEZE P5
129272G;LEVOLAN PERFIL FIX.PAINEL FIXO 6000MM EV1;
129277G;LEVOLAN PERFIL EMB. PASSO LIVRE 6000MM;
129344G;GUIA DESLIZANTE 12 MM P/MOLA BOXER PORTAS VAI-VEM;GEZE P8
129393G;AS 500 SELETOR 24 V;
129397G;LEVOLAN KIT PARA FIXAÇAO TECTO (20 PEÇAS);
129455L;SOLDA BRANCA P/PVC FENOPLAST KF - 200 GR;ESTANTE 1 P1
129456;COLA TRANSPARENTE P/PVC FENOPLAST KF - 200 GR;ESTANTE 1 P2
129456L;SOLDA TRANSPARENTE P/PVC FENOPLAST KF - 200 GR;ESTANTE 1 P2
129899G;KIT ROLLAN 40N SOFTSTOP 1 LADO 555-880;
129900G;KIT ROLLAN 40N SOFTSTOP 1 LADO 880-1270;
129901G;KIT ROLLAN 40N SOFTSTOP 1 LADO 1270-1700;
129902G;KIT ROLLAN 40N SOFTSTOP 2 LADOS 880-1270;
129903G;KIT ROLLAN 40N SOFTSTOP 2 LADOS 1270-1700;
130057G;K600 MOTOR COM BRAÇO RETRACTIL;
130058G;K600 MOTOR COM BRAÇO RETRACTIL - PRETO;GEZE P8
130059G;K600 MOTOR COM BRAÇO RETRACTIL T - PRATA;
1300E001201191;DOBRADIÇA PERNO 11X40 MM - BRANCO;
1300E001201193;DOBRADIÇA PERNO 11X40 MM - PRETA;D2P3
130153G;CONSOLA T P/ K600T;
130154G;CONSOLA R P/ K600T;
131209G;COMANDO Á DISTANCIA EMISSOR 24 V - GEZE;
131210G;COMANDO Á DISTANCIA C/EMISSOR - GEZE;
131213G;COMANDO Á DISTANCIA C/RECEPTOR 24 V - GEZE;
131215G;COMANDO Á DISTANCIA C/RECEPTOR 230 V - GEZE;
131216G;COMANDO Á DISTANCIA C/RECEPTOR 230 V - GEZE;
131223G;"MSW-BORRACHA P/VIDRO 12MM; VIDRO 1100MM";
131610G;MANIVELA 70 MM PARA COMANDO MANUAL GEZE OL 320 PRATA;GEZE P5
131975G;ECTURN MECANISMO DE BATENTE PARA 1 FOLHA;
133119G;K600 MOTOR SINCRONIZADO COM BRAÇO RETRACTIL T - PRATA;
134040G;KIT UNIVERSAL STANDARD;
13525G;SELECTOR DE FECHO SOBREPOSTO;
135393G;DL-FL PONTO DE GIRO INFERIOR;
135473G;LEVOLAN CARRIL RODADURA FIXO, SOFSTOP 6 MTS;
136377G;KIT GEZE LEVOLAN 80KG C/FIX. TECTO 2050 MM - PRATA;
136378G;KIT GEZE LEVOLAN 80 KG C/FIX.TECTO 2050 MM - COR INOX;
136383G;LEVOLAN KIT MONT.MURO,FOLHA 900-1100 SOFTSTOP;
136385G;LEVOLAN KIT DE MONTAGEM MURO, SOFTSTOP,2450MM;
136705G;LEVOLAN KIT TOPOS;
136707G;GC 304 C DETETOR DE MOVIMENTO;
137179G;LEVOLAN 150/2 ESCOVA 2450 MM;
137606G;CAPA P/PERLAN140 - PRATA 6 MTS;
137863G;CONJ.SUPL.PLASTICO CLIPAR PERLAN 140;GEZE P8
137864G;CONJ.TOPOS LATERAIS PERLAN140;GEZE P8
138099G;CONJ.FIXADORES NIV. GUIAS AO TECTO (6 PEÇAS);GEZE P8
1,40102E+12;PARAFUSO FEX TIPO A CE 3.9X16 Z/A;
1,40102E+12;PARAFUSO FEX TIPO A CE 3.9X19 Z/A;
1,40147E+12;PARAFUSO FEX TIPO A CE 3.9X16 Z/B;
1,40147E+12;PARAFUSO FEX TIPO A CE 3.9X19 Z/B;
1,40147E+12;PARAFUSO FEX TIPO A CE 3.9X32 Z/B;
1,41147E+12;PARAFUSO FEX TIPO HS CE 4.0X25 Z/B;
1,41147E+12;PARAFUSO FEX TIPO HS CE 4.0X30 Z/B;
1,41147E+12;PARAFUSO FEX TIPO KS CE 4.0X35 Z/B;
14340G;PERKEO 75/1 51-60 CM ZINCADO;ES10P8
14346G;KIT CALHA GEZE PERKEO 75 1110-1200 FOLHA 140 KG;
143572G;GUIA DESLIZANTE P/MOLA AEREA GEZE TS 5000 ECLINE - PRATA;
143640G;MOLA AEREA GEZE TS 5000 EC LINE - PRATA;
144433G;MOLA DE PAVIMENTO TS 500 N FORÇA FIXA EN 3 C/RET. 90º;GEZE P5
144435G;MOLA PAVIMENTO TS 500 N FORÇA FIXA EN 3 C/RET. 90º - VIDRO;GEZE P5
145659;ACESS.VERTICAL TRAVAMENTO H 1200 MM;
145662;ACESS.VERTICAL TRAVAMENTO H 1700 MM;
146665G;MOTOR GEZE E 250 NT 24 V - BRANCO 500 MM;
147020G;POWER LOCK 24V EV1;
147030G;MOTOR GEZE SLIMCHAIN 24V - PRATA DTº 300 MM;
147031G;MOTOR GEZE SLIMCHAIN 24V - BRANCO DTº 300 MM;
147035G;MOTOR GEZE SLIMCHAIN 24V - PRATA ESQº 300 MM;
147036G;MOTOR GEZE SLIMCHAIN 24V - BRANCO ESQº 300 MM;
147040G;MOTOR GEZE SLIMCHAIN 24V - PRATA DTº 500 MM;
147041G;MOTOR GEZE SLIMCHAIN 24V - BRANCO DTº 500 MM;
147045G;MOTOR GEZE SLIMCHAIN 24V - PRATA ESQº 500 MM;
147046G;MOTOR GEZE SLIMCHAIN 24V - BRANCO ESQº 500 MM;
147050G;MOTOR GEZE SLIMCHAIN 24V - PRATA DTº 800 MM;
147055G;MOTOR GEZE SLIMCHAIN 24V - PRATA ESQº 800 MM;
147060G;"ACESS.P/MOTOR GEZE SLIMCHAIN - MONT.ARO - BASCULANTE -
PRATA";
147061G;"ACESS.P/MOTOR GEZE SLIMCHAIN - MONT.ARO - BASCULANTE -
BRANC";
147062G;ACESS.P/MOTOR GEZE SLIMCHAIN - MONT.FOLHA - PROJET. - PRATA;
147063G;"ACESS.P/MOTOR GEZE SLIMCHAIN - MONT.FOLHA - PROJET. -
BRANCO";
14706G;VARAO PARA MANIVELA CURVADA FZ 45-32 - 6 METROS;
147080G;MOTOR GEZE POWERCHAIN 24V - PRATA 600 MM;
147081G;MOTOR GEZE POWERCHAIN 24V - BRANCO 600 MM;
147110G;ACESS.P/MOTOR GEZE POWERCHAIN - MONT.ARO - PRATA;
147111G;ACESS.P/MOTOR GEZE POWERCHAIN - MONT.ARO - BRANCO;
147112G;ACESS.P/MOTOR GEZE POWERCHAIN - MONT.FOLHA;
147113G;ACESS.P/MOTOR GEZE POWERCHAIN - MONT.FOLHA - BRANCO;
147165G;KIT LEVOLAN 60 FIXAÇAO MURO 2050MM;
147166G;KIT LEVOLAN 60 FIXAÇAO MURO 2450MM;
147222G;"KIT DE CAPA TRASEIRA PARA LEVOLAN 60 2050MM COM FIXAÇAO
TETO";
14795G;MANIVELA CURVADA FZ 45-32 - BRANCA;
148258G;MOTOR GEZE EC CHAIN 230V - PRETO;GEZE P5
148259G;MOTOR GEZE EC CHAIN 230V - PRATA;GEZE P4
148260G;MOTOR GEZE EC CHAIN 230V - BRANCO;GEZE P4
149395;DOBRADIÇA P/PIVOTANTE TORNADO 1 - PRATA;
149458;DOBRADIÇA P/PIVOTANTE TORNADO 86 - BRANCA;
14945G;GUIA DESLIZANTE P/MOLA AEREA GEZE TS 3000/5000  INOX;
149470;ACESS.ENGRENAGEM DE TRAVAMENTO CENTRAL ZV 16;
150060644;FECHO BANDEIRA 600 ZK NIQUEL MATE;
151237G;SENSOR COMBINADO - GC 363 R;
151251G;FOTO CELULA GC 339;
151424G;FONTE DE ALIMENTAÇAO NT (TRANSFORMADOR) 2,5-24 V HS;
151425G;FONTE DE ALIMENTAÇAO NT (TRANSFORMADOR) 1,5-24 V HS;
151524G;PROGRAMADOR DISPLAY COM BOTAO OFF;
151959G;FICHA IQ GEAR;GEZE P4
153874G;RECEPTOR DE COMANDO Á DISTANCIA;
154009G;RECEPTOR DE COMANDO Á DISTANCIA 24 V;
154010G;COMANDO Á DISTANCIA C/EMISSOR - GEZE;
154920G;SISTEMA GEZE POWERTURN 1 FOLHA;
155809G;PROGRAMADOR DISPLAY;
15695G;GUIA DESLIZANTE P/MOLA AEREA GEZE TS 3000 E 5000  BRANCA;GEZE P4
157556G;EOL - SUP.P/ABERTURA MOTOR PRETO;
158053G;KIT ACESSORIOS P/MOTOR GEZE POWERCHAIN 24V;
158433G;RADAR GC (MICROONDAS);
15879G;MANIVELA DES. 1400 MM - BRANCA;CAP1
15987;MANIVELA AMOVIVEL 1400 MM - PRETA;
160412G;CALHA ROLLAN 80 N 810-1000 MM;
160420G;ACESS.ROLLAN 80N SEM FIXADORES;
163028G;SENSOR DE PRESENÇA MAGIC SWITCH GC 306;
16555G;VARAO 8 MM ZINCADO OL 90 2 MTS;
16591G;"VARAO 8 MM ZINCADO PARA COMANDO MANUAL GEZE OL 90 3000
MM";A2.P3
16592G;VARAO 8 MM ZINCADO OL 90 6 MTS;
169752G;BRAÇO INFERIOR PT 10;GEZE P4
169763G;PIVOT SUPERIOR (LADO PORTA) PT20;
169774G;PT 24 PONTO DE GIRO SUPERIOR FIXO;
1789314H;MANETE REBAIXADA 7/32 MM TITAN - HOPPE;CS16P3
182582G;MOTOR GEZE SLIMCHAIN 230V - PRATA DTº 200 MM;
182583G;MOTOR GEZE SLIMCHAIN 230V - BRANCO DTº 200 MM;
182584G;MOTOR GEZE SLIMCHAIN 230V - PRATA ESQº 300 MM;
182587G;MOTOR GEZE SLIMCHAIN 230V - BRANCO DTº 300 MM;
182588G;MOTOR GEZE SLIMCHAIN 230V - PRATA ESQº 500 MM;
182590G;MOTOR GEZE SLIMCHAIN 230V - PRATA DTº 500 MM;
182RN1AM01;DOB.EXATA 3D MACHO/FEMEA ZINC./PRATA D16-L38;DS2P4
182RN1AN01-LF;DOB.EXATA 3D MACHO/FEMEA ZINC./PRATA D16-L38;
184307;FECHO VERTICAL ELEV. PRATA  1201-1800 MM;
184313;FECHO VERTICAL ELEV. PRATA  1801-2100 MM;
184319;FECHO VERTICAL ELEV. PRATA  2101-2400 MM;
184325;FECHO VERTICAL ELEV. PRATA  2401-2700 MM;
184578;BARRA UNIAO HORIZONTAL ELEVAVEL 650-1360MM;A2.P3
184581;BARRA UNIAO HORIZONTAL ELEVAVEL 1361-1860MM;A2.P5
184584;BARRA UNIAO HORIZONTAL ELEVAVEL 1861-2360MM;A2.P3
184587;BARRA UNIAO HORIZONTAL ELEVAVEL 2360 - 3235 MM;A2.P3
184725;ELEMENTO FECHO ARO VENTILAÇAO NAVARRA 24 200;A3.OB1
184731;ELEMENTO FECHO ARO VENTILAÇAO ALUSYS RTC;A2.B.5.2
184737;ELEMENTO FECHO ARO VENTILAÇAO ANICOLOR CW;A2.B.5.2
184785;ELEMENTO FECHO ARO ELEV. NAVARRA 24 200;A2.B.5.2
184791;ELEMENTO FECHO ARO ELEV. ALUSYS RTC;A2.B.5.2
184797;ELEMENTO FECHO ARO ELEV. ANICOLOR CW;A2.B.5.3
185185;CREMONE 2 CARAS P/CORR.ELEV. PRATA;
186675;ELEMENTO FECHO ARO VENTILAÇAO SAPA T 40;A2.B.5.2
186699;ELEMENTO FECHO ARO ELEV. SAPA T 40;A2.B.5.3
186934;ELEMENTO FECHO ELEV. ESQUEMA C;A2.B.5.3
187477;BATENTE PRETO P/FOLHA ELEVAVEL;
187480;BATENTE BRANCO P/FOLHA ELEVAVEL;
187558;KIT ACESS.ELEV. ESQ. C SHUCO BRANCO;
187933;CONJ.ACC.ELEVADORA ESQ. A PROFINE DEMIDOOR (KOM);CX6
1885681H;MANETE P/JANELA BRANCA HOPPE 35MM;
1886860H;MANETE-MANETE HOPPE TOKYO 7/70 BRANCA (9016);
188708;BARRA UNIAO HORIZONTAL ELEVAVEL 2001-2500 MM;
188711;BARRA UNIAO HORIZONTAL ELEVAVEL 2501-2325 MM;
189490;CONJTUNTO ACESSORIOS ELEVAVEL HAUTAU;A2.B.5.3
189541;CALÇO 3MM P/PONTO FECHO HAUTAU;
19032G;E250 CONSOLA STD ALUM.ANODIZADO;
190588;ELEMENTO FECHO ARO ELEV. GEALAN S 9000;
190630707;CASQUILHO REDUTOR 8«7 ZINCADO;C12P3
1906B005021503;CASQUILHO REDUTOR B00502.15.03  8»7 ZINCADO;
1906R78M;CASQUILHO REDUTOR 8«7 ZINCADO;
191793G;MOLA AEREA GEZE TS 1500 S/RET + BRAÇO ARTICULADO - PRETA;
192113G;AS 500 SELETOR 24 V;
192139H;TORNADO 200 KIT CAPAS BRANCO;
193615;CREMONE ELEV. PRETA 9005 M;
193621;CREMONE 2 CARAS P/CORR.ELEV. PRETA;
193720;CONJUNTO CARROS ELEV.HAUTAU - 200 KG;A2.B.6.2
195419;FECHO VERTICAL ELEV. PRATA  1201-1800 MM;A2.A2
195425;FECHO VERTICAL ELEV. PRATA  1801-2100 MM;A2.A2
195431;FECHO VERTICAL ELEV. PRATA  2101-2400 MM;A2.P3
195437;FECHO VERTICAL ELEV. PRATA  2401-2700 MM;A2.P5
195545;MANETE P/PIVOTANTE PRATA QUAD.30 MM;
195770;CREMONA HORIZONTAL B 1100 MM;
195773;CREMONA HORIZONTAL B 1450 MM;
195776;CREMONA HORIZONTAL B 1900 MM;
196199;CONJUNTO CARROS SUPLEMENTARES- P/400 KG;
196256H;TORNADO 200 KIT CAPAS BRANCO;
196442;CALÇO PARA CARRO ELEVAVEL SAPA T 40;A2.B.5.3
1969016H;MANETE  AMSTERDAM INOX C/QUAD.35MM;
197024;FECHO VERTICAL ELEV. PRATA  1801-2100 MM;
197027;FECHO VERTICAL ELEV. PRATA  2101-2400 MM;
197030;FECHO VERTICAL ELEV. PRATA  2401-2700 MM;
197387;FECHO VERTICAL ELEV. PRATA  1200-1800 MM;
198027;CALÇO P/FECHO ELEV. 200 KG;CX 4
198285;CONJTº PARAFUSOS ELEVAT. - DOMAL;CX6
198771;ACESSORIOS P/TORNADO 1 C/CAVIDADE 11 MM FFB 1900 MM;
198812G;TS5000- GUIA DES. L MONTAGEM INVERSA - PRETA;GEZE P3
200008;PRODUTO LIMPEZA P/PERFIS PVC  S 5  1000 ML;F4P1
200008L;LIMPADOR DE PVC FENOSOL S 5 UVA 1000 ML;A2.B.7.4
200009;PRODUTO LIMPEZA P/PERFIS PVC  S 5 - 10 LTS;
200010;PRODUTO LIMPEZA P/PERFIS PVC  S 5 - 30 LTS;
2000125;VARAO (8MM) DE UNIAO HORIZONTAL ELEVAVEL 720-1590 MM;BS10P2
2000126;VARAO (8MM) DE UNIAO HORIZONTAL ELEVAVEL 1591-2190 MM;BS10P2
2000127;VARAO (8MM) DE UNIAO HORIZONTAL ELEVAVEL 2191-3000 MM;A8.P1
2000128;PERFIL ADAPTADOR COMPENSADOR PRATA A-C 6 MTS;CS9P4
2000139;PEÇA DE APOIO PARA VARAO 8 MM PATIO LIFT;D6P5
200013G;MOLA DE PAVIMENTO TS 500 NV FORÇA VARIAV. EN 1-4 C/RET - KIT;
200014G;MOLA DE PAVIMENTO TS 500 N FORÇA FIXA EN 3 C/RET. - KIT;
200016;PRODUTO LIMPEZA P/PERFIS PVC  S 10 1000 ML;F4P2
2000176;CREMONA ALVERSA EASYMIX C.V. 1601-2000 2 E NX;B3P2
2000177;CREMONA ALVERSA EASYMIX C.V. 2001-2400 2 E NX;AS3P1
200020;PRODUTO LIMPEZA P/PERFIS PVC  S 20 1000 ML;F4P2
200020L;LIMPADOR DE PVC FENOSOL S 20 UVA 1000 ML;A2.B.7.4
200022;PRODUTO LIMPEZA P/PERFIS PVC  S 20 30 LTS;A2.
200024;PRODUTO LIMPEZA P/PERFIS ALU  1000 ML;A2.B.7.4
200024L;LIMPADOR DE ALUMINIO FENOSOL 1000 ML;
2000288;BATENTE P/FOLHA ELEV.;DS6P6
200029;ELEMENTO FECHO ARO ELEVAT.;CX6
200032;ELEMENTO FECHO ARO ELEVAT. - MICROVENTILAÇAO;CX5
2000327;DOBRADIÇA OCULTA ARO I C7.140 SOLID C PRETA;FS6P4
200035;ELEMENTO FECHO ARO ELEVAT. - ESQUEMA C;CX6
200038;ELEMENTO FECHO ARO ELEVAT. - ESQUEMA C - MICROVENTILAÇAO;CX6
2000398;CLICK RETENÇÃO ALU;F4P4
2000404;SUPLEMENTO PLASTICO PARA CLICK RETENÇÃO ALU 540;
200041G;TRINCO ELECTRICO GEZE;
200075G;COMANDO Á DISTANCIA C/RECEPTOR 230 V - GEZE;
200078G;FOTOCELULA BOTAO SIMPLES MICROCELL;
200089G;RADAR COLIBRI;
200092;COLA RAPIDA FENOPLAST VISCOSIDADE  LIGEIRA 20 GR;F4P3
200092L;COLA RAPIDA FENOPLAST VISCOSIDADE  LIGEIRA 20 GR;
200158;FENOPUR DUETT - MISTURA DE COLAS P/ALUMINIO 825GRS;F4P2
20015G;MSW PELUCIA 2,6/18 X 1200 MM;
200161;PONTEIRAS C/DUETO AREJADOR P/FENOPUR;
200162;FENOPUR DUETT - MISTURA DE COLAS P/ALUMINIO 825GRS;
2001803;FECHO VERTICAL ELEV. PRATA 2201-2600MM;A8.P1
2001814;FECHO VERTICAL ELEV. PRATA 2201-2600MM;A8.PAREDE
2001815;FECHO VERTICAL ELEVAVEL TB 27,5 - 2201-2600 MM;AS8.PAREDE
2001816;FECHO VERTICAL ELEVAVEL 400 KG TB 27,5 - 2201-2600 MM;A8.PAREDE
2001883;ELEMENTO FECHO BASCULANTE NX P/ SOLEIRA BKV;D8P6
2001903;ELEMENTO FECHO BASCULANTE SALAMANDER P/ SOLEIRA BKV;
2001904;ELEMENTO FECHO BASCULANTE PARA 2 FOLHAS SOLEIRA BKV;DS1P6
2002067;VEDANTE DEVENTER PATIO INOWA SALAMANDER;A2.B3P2
200206L;SPRAY FENOFLEX ESPECIAL PARA VIDROS - 400 ML;
2002406;BITOLA PARA DOB.ARO/SUPORTE COMPASSO AFINAÇAO 6/130 NX;CACIFO P2
2002450;MANETE 1006 FKS 37 MM BRANCA;F1P6
2002452;MANETE 1006 FKS 37 MM PRETA;F2P5
2002453;MANETE 1006 FKS 37 MM PRATA;FS2P5
2002454;MANETE 1033 FKS 37 MM BRANCA;F2P2
2002455;MANETE 1033 FKS 37 MM CASTANHA;
2002456;MANETE 1033 FKS 37 MM PRETA;F2P2
2002457;MANETE 1033 FKS 37 MM PRATA;F2P2
200260G;KIT CAPA ROLLAN/PERLAN COR PRATA;
2002642;PEÇA DE AFINAÇAO DA DOBRADIÇA C7.140 II SOLID C PRETA;CS1P3
200267G;GUIA DE ALUMINIO ANODIZADO BARRA 2 MT;
200268G;GUIA DE ALUMINIO ANODIZADO BARRA 3 MT;
200269G;PERLAN 140 KIT ACESSORIOS P/VIDRO;
200274G;CAPA EMBELEZADORA PERLAN 140 PASSO LIVRE 2000MM;
200335G;KIT ACESSORIOS LEVOLAN EV1;
200337G;CALHA LEVOLAN C/FIXO EV1 - 3000MM;
200339G;CAPA P/ CALHA LEVOLAN C/FIXO EV1 - 2000MM;
200340G;PERFIL PAINEL FIXO 1000MM - GEZE LEVOLAN - PRATA;
200341G;PERFIL FIXO LEVOLAN EV1 - 2000MM;
200342G;PERFIL DE SOLO EM U P/FIXO 1000MM - GEZE LEVOLAN - PRATA;
2003430;FECHADURA ROLETES 4V H600 25/92/8 2200 MM PRATA;ES4P3
2003431;FECHADURA ROLETES 4V H600 28/92/8 2200 MM PRATA;ES5P6
2003432;FECHADURA ROLETES 4V H650 35/92/8 2200 MM;ES5P5
2003433;FECHADURA ROLETES 4V H600 40/92/8 2200 MM PRATA;ES4P5
2003434;FECHADURA ROLETES 4V H600 45/92/8 2200 MM PRATA;ES5P7
2003438;FECHADURA H600 35/92/8 2200 MM PRATA;
200343G;PERFIL EM U P/SOLO FIXO LEVOLAN EV1 - 2000MM;
2003447;FECHADURA H600 25/92/8 2200 MM PRATA COM SERRILHA;
2003457;FECHADURA H600 POWERLOCK 35/92/8 2200 MM PRATA;ES5P8
2003461;FECHADURA H600 28/92 C/SERRILHA 1845-3035;ES10P5
2003484;FECHADURA H600 45/92 COMBINADA;
200348G;PERFIL PAINEL FIXO 1000MM - GEZE LEVOLAN -C.INOX;
200350G;PERFIL DE SOLO EM U P/FIXO 1000MM - GEZE LEVOLAN - C.INOX;
2003522;FECHADURA COMBINADA H600 35/92/16- 2200MM;
2003530;FECHADURA BICO PAPAGAIO H600 35/92/X24- 2200MM;ES10P1
200353G;KIT ACESSORIOS STANDARD;
2003566;FECHADURA H650 35/92 - 380 U4,5X20 PROLONGAVEL;DS9P5
2003567;FECHADURA H600 40/92 - 380 U4,5X20 PROLONGAVEL;
2004506;LIMITADOR ABERTURA  DESIGNO   ALU;F3P3
2004525;"PLACA DE SUBSTITUIÇAO DE MEDIDOR PARA REGUA DA MAQUINA
KSR";ESTANTE P1
200501G;ANODIZADO PRATA EV1 STD;
2005153;DOBRADIÇA OCULTA ARO IV C7.140 SOLID C PRATA;DS8P5
2005169;PEÇA DE AFINAÇAO DA DOBRADIÇA C7.140 II SOLID C PRATA;C3P4
2005470;CAPA PARA SUPORTE DE COMPASSO NX COM AFINAÇAO PRETA;A2.B.1.2
2005472;CAPA PARA SUPORTE DE COMPASSO NX 6/150 - 7016;
2005507;GUIA SUPERIOR ELEVAVEL SCHUCO CT70 / DECEUNINCK HS76;D6P5
2005678;PERFIL JUNTA CENTRAL PATIO INOWA SALAMANDER;C11P2
200601G;EC JOGO DE PERFILARIA ESG-SP;
200604G;EC JOGO DE PERFILARIA ISO;
2006142;DOBRADIÇA OCULTA FOLHA I C7.140 SOLID C PRATA;DS8P5
2006144;DOBRADIÇA OCULTA ARO I C7.140 SOLID C PRATA;DS8P5
2006145;PEÇA DE AFINAÇAO DA DOBRADIÇA C7.140 SOLID C PRATA;DS2P5
200618G;KIT ACESSORIOS STD. ACTIV;
2006250;CONJUNTO CARROS ELEVAVEL ADICIONAIS 16 ROTO 400 KG;D5P1
200629G;PERFIL AUTOPORTANTE ECDRIVE 3 MTS;
2006306;BATENTE P/FOLHA ELEV.;DS6P6
200631G;MOTOR GEZE E-OL CORRENTE 230V - BRANCO / SINCRO;
200632G;MOTOR GEZE E-OL CORRENTE 230V - PRATA / SINCRO;
200633G;MOTOR GEZE E-OL CORRENTE 230V - PRETO / SINCRO;
200653;KIT REPARADOR PVC;F4P2
200653L;KIT REPARAÇAO PVC;
2006585;DOBRADIÇA SOLID B 218 P FIXAÇAO CANAL I BRANCA ESQª;
2006587;DOBRADIÇA SOLID B 218 P FIXAÇAO CANAL I PRATA DTª;
2006588;DOBRADIÇA SOLID B 318 P FIXAÇAO ABA I BRANCA DTª;
2006602;DOBRADIÇA SOLID B 222 P FIXAÇAO CANAL I BRANCA ESQª;
2006603;DOBRADIÇA SOLID B 222 P FIXAÇAO CANAL I BRANCA DTª;D6P7
2006606;DOBRADIÇA SOLID B 222 P FIXAÇAO CANAL I PRETA ESQª;C4P3
2006607;DOBRADIÇA SOLID B 222 P FIXAÇAO CANAL I PRETA DTª;D6P7
2006617;DOBRADIÇA SOLID B 322 P FIXAÇAO CANAL I BRANCA ESQª;
2006618;DOBRADIÇA SOLID B 322 P FIXAÇAO CANAL I BRANCA DTª;
2006619;DOBRADIÇA SOLID B 322 P FIXAÇAO CANAL I CASTANHA ESQª;
2006620;DOBRADIÇA SOLID B 218 P FIXAÇAO CANAL I RAL ESPECIAL ESQª;
2006621;DOBRADIÇA SOLID B 322 P FIXAÇAO CANAL I CASTANHA DTª;
2006622;DOBRADIÇA SOLID B 322 P FIXAÇAO CANAL I PRETA ESQª;
2006623;DOBRADIÇA SOLID B 322 P FIXAÇAO CANAL I PRETA DTª;
2006626;DOBRADIÇA SOLID B 322 P FIXAÇAO CANAL I PRATA ESQª;
2006627;DOBRADIÇA SOLID B 322 P FIXAÇAO CANAL I PRATA DTª;
2006631;DOBRADIÇA SOLID B 218 P FIXAÇAO CANAL I RAL ESPECIAL DTª;
2006642;DOBRADIÇA SOLID B 318 P FIXAÇAO CANAL I BRANCA ESQª;
2006653;DOBRADIÇA SOLID B 318 P FIXAÇAO CANAL I BRANCA DTª;
2006694;DOBRADIÇA SOLID B 222 P FIXAÇAO ABA I BRANCA ESQª;
2006695;DOBRADIÇA SOLID B 222 P FIXAÇAO ABA I BRANCA DTª;D6P7
2006696;DOBRADIÇA SOLID B 222 P FIXAÇAO ABA I CASTANHA ESQª;
2006697;DOBRADIÇA SOLID B 218 P FIXAÇAO CANAL I BRANCA DTª;
2006699;DOBRADIÇA SOLID B 222 P FIXAÇAO ABA I CASTANHA DTª;
2006700;DOBRADIÇA SOLID B 222 P FIXAÇAO ABA I PRETA ESQ;
2006701;DOBRADIÇA SOLID B 222 P FIXAÇAO ABA I PRETA DTª;FS2P1
2006704;DOBRADIÇA SOLID B 222 P FIXAÇAO ABA I PRATA ESQ;
2006705;DOBRADIÇA SOLID B 222 P FIXAÇAO ABA I PRATA DTª;DS10P5
2006711;DOBRADIÇA SOLID B 322 P FIXAÇAO ABA I BRANCA ESQª;
2006732;DOBRADIÇA SOLID B 218 P FIXAÇAO CANAL II BRANCA ESQª;
2006733;DOBRADIÇA SOLID B 218 P FIXAÇAO CANAL I CASTANHA 8077 ESQª;
2006734;DOBRADIÇA SOLID B 218 P FIXAÇAO CANAL II BRANCA DTª;
2006735;DOBRADIÇA SOLID B 218 P FIXAÇAO CANAL II CASTANHA 8077 ESQª;
2006736;DOBRADIÇA SOLID B 218 P FIXAÇAO CANAL II CASTANHA 8077 DTª;
2006737;DOBRADIÇA SOLID B 218 P FIXAÇAO CANAL II PRETA ESQª;
2006738;DOBRADIÇA SOLID B 218 P FIXAÇAO CANAL II PRETA DTª;
2006741;DOBRADIÇA SOLID B 218 P FIXAÇAO CANAL II PRATA ESQª;
2006742;DOBRADIÇA SOLID B 218 P FIXAÇAO CANAL II PRATA DTª;
2006744;DOBRADIÇA SOLID B 218 P FIXAÇAO CANAL I CASTANHA 8077 DTª;
2006746;DOBRADIÇA SOLID B 218 P FIXAÇAO CANAL II RAL ESPECIAL ESQª;
2006747;DOBRADIÇA SOLID B 218 P FIXAÇAO CANAL II RAL ESPECIAL DTª;
